Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V8P500B,Samsung,980 Pro NVMe PCIe M.2 500GB,28,338,78573,https://ssd.userbenchmark.com/SpeedTest/1307906/Samsung-SSD-980-PRO-500GB
SSD,MZ-V7S2T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,29,336,200600,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7S2T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,29,336,200600,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,CT500P5PSSD8,Crucial,P5 Plus NVMe PCIe M.2 500GB,30,328,8064,https://ssd.userbenchmark.com/SpeedTest/1633274/CT500P5PSSD8
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,31,327,38669,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,SSDPEKNU020TZX1,Intel,670p NVMe PCIe M.2 2TB,32,327,3198,https://ssd.userbenchmark.com/SpeedTest/1393067/INTEL-SSDPEKNU020TZ
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,33,322,93447,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,SB-ROCKET-NVMe4-1TB,Sabrent,Rocket 4 NVMe PCIe M.2 1TB,34,317,46203,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB
SSD,CSSD-F1000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 1TB,35,314,35257,https://ssd.userbenchmark.com/SpeedTest/843047/Force-MP600
SSD,MZ-V7S1T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,36,310,455997,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7S1T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,36,310,455997,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V9E1T0B,Samsung,990 Evo M.2 1TB,37,308,552,https://ssd.userbenchmark.com/SpeedTest/2283133/Samsung-SSD-990-EVO-1TB
SSD,WDS250G3X0E,WD,Black SN770 NVMe PCIe M.2 250GB,38,303,952,https://ssd.userbenchmark.com/SpeedTest/1801563/WD-BLACK-SN770-250GB
SSD,5MS24AA#ABC,HP,EX950 NVMe PCIe M.2 2TB,39,300,2580,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,40,297,331647,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,41,290,10709,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,CT1000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 1TB,42,287,24278,https://ssd.userbenchmark.com/SpeedTest/1217319/CT1000P5SSD8
SSD,5MS23AA#ABC,HP,EX950 NVMe PCIe M.2 1TB,43,284,5166,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,CT2000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 2TB,44,283,4222,https://ssd.userbenchmark.com/SpeedTest/1232397/CT2000P5SSD8
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,45,279,18356,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,46,279,85928,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,WDS100T3X0C,WD,Black SN750 NVMe PCIe M.2 1TB (2019),47,277,114373,https://ssd.userbenchmark.com/SpeedTest/703216/WDS100T3X0C-00SJG0
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),48,276,3261,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,SSDPEK1W120GA01,Intel,800p NVMe PCIe M.2 118GB,49,275,124,https://ssd.userbenchmark.com/SpeedTest/489136/NVMe-INTEL-SSDPEK1W12
SSD,MZ-V7S500BW,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,50,275,495311,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,MZ-V7S500B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,50,275,495311,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,SB-ROCKET-NVMe4-500,Sabrent,Rocket 4 NVMe PCIe M.2 500GB,51,274,9893,https://ssd.userbenchmark.com/SpeedTest/905105/Sabrent-Rocket-40-500GB
SSD,MZ-V7E500BW,Samsung,970 Evo NVMe PCIe M.2 500GB,52,273,381216,https://ssd.userbenchmark.com/SpeedTest/493995/Samsung-SSD-970-EVO-500GB
SSD,MZ-V8P250BW,Samsung,980 Pro NVMe PCIe M.2 250GB,53,272,7456,https://ssd.userbenchmark.com/SpeedTest/1311638/Samsung-SSD-980-PRO-250GB
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,54,271,3492,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,55,270,671,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,56,267,16263,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,57,266,63520,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,WDS200T3X0C,WD,Black SN750 NVMe PCIe M.2 2TB (2019),58,263,4259,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,59,263,52,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),60,262,6712,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,61,259,1901,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,CT500P5SSD8,Crucial,P5 3D NVMe PCIe M.2 500GB,62,256,17082,https://ssd.userbenchmark.com/SpeedTest/1213080/CT500P5SSD8
SSD,5MS22AA#ABC,HP,EX950 NVMe PCIe M.2 512GB,63,255,2245,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,SSDPEKNU010TZX1,Intel,670p NVMe PCIe M.2 1TB,64,251,14932,https://ssd.userbenchmark.com/SpeedTest/1493432/INTEL-SSDPEKNU010TZ
