gpu,gpubench
NVIDIA GeForce GTX 1050 Mobile,6067.5
NVIDIA GeForce GTX 880M,6101
AMD Radeon RX 560X (Laptop),6327
NVIDIA Quadro M3000M,6536.5
NVIDIA Quadro P2000 Max-Q,6742
AMD Radeon R9 M395,6819
NVIDIA Quadro P2000,6847
AMD FirePro W7170M,6935
NVIDIA GeForce GTX 1050 Ti Max-Q,7324
AMD Radeon RX Vega M GL / 870,7329
AMD Radeon Pro WX Vega M GL,7333
NVIDIA GeForce GTX 970M,7463
NVIDIA Quadro T1000 (Laptop),7558
NVIDIA Quadro M4000M,7723
NVIDIA GeForce GTX 1050 Ti Mobile,7740.5
AMD Radeon Pro Vega 16,7745
NVIDIA GeForce GTX 1650 Max-Q,7779
AMD Radeon R9 M395X,7921
NVIDIA Quadro T2000 Max-Q,8107
AMD Radeon Pro Vega 20,9043.5
NVIDIA Quadro M5000M,9227.5
NVIDIA Quadro P3000,9255.5
NVIDIA GeForce GTX 1650 Mobile,9283
NVIDIA GeForce GTX 980M,9682
AMD Radeon RX Vega M GH,10248
AMD Radeon RX 5300M,10306
AMD Radeon Pro 5500M,10399
NVIDIA GeForce GTX 1060 Max-Q,10430
AMD Radeon RX 470 (Laptop),10715
AMD Radeon RX 580 (Laptop),11261
NVIDIA GeForce GTX 1060 Mobile,11558
AMD Radeon RX 5500M,12111
NVIDIA Quadro P4000,12259
NVIDIA Quadro P4000 Max-Q,12312
NVIDIA Quadro P3200,12554.5
NVIDIA GeForce GTX 980 (Laptop),13047
NVIDIA Quadro RTX 3000 Max-Q,13196
NVIDIA GeForce GTX 1660 Ti Max-Q,13271.5
NVIDIA Quadro P5000,14666
NVIDIA GeForce GTX 1070 Max-Q,14678.5
NVIDIA GeForce GTX 1660 Ti Mobile,14735.5
NVIDIA Quadro RTX 3000 (Laptop),14841.5
NVIDIA GeForce RTX 2060 Max-Q,15650
NVIDIA GeForce RTX 2060 Mobile,15822
NVIDIA GeForce RTX 2070 Max-Q,16978.5
NVIDIA GeForce GTX 1070 Mobile,17236.5
NVIDIA Quadro RTX 4000 (Laptop),17619
NVIDIA GeForce GTX 1080 Max-Q,18191.5
NVIDIA Quadro P5200,18467
NVIDIA GeForce RTX 2070 Mobile,20036.5
NVIDIA Quadro RTX 5000 Max-Q,20367
NVIDIA GeForce RTX 2080 Max-Q,20703
NVIDIA GeForce RTX 2070 Super Max-Q,20914
NVIDIA Quadro RTX 5000 (Laptop),21300.5
NVIDIA GeForce GTX 1080 Mobile,21394
NVIDIA GeForce RTX 2080 Super Max-Q,22034
NVIDIA GeForce RTX 2070 Super Mobile,22270
NVIDIA GeForce RTX 2080 Mobile,25440
NVIDIA GeForce GTX 1070 SLI (Laptop),32969
NVIDIA GeForce GTX 1080 SLI (Laptop),39901.5
