Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,id
GPU,02G-P4-6152-KR,EVGA,EVGA GTX 1050 2GB SC GAMING,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2308
GPU,GV-N1050D5-2GD,Gigabyte,Gigabyte GTX 1050 2GB OC Single,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2309
GPU,GV-N1050WF2OC-2GD,Gigabyte,Gigabyte GTX 1050 2GB Windforce,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2310
GPU,EX-GTX1050-2G,Asus,Asus GTX 1050 2GB Expedition,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2311
GPU,02G-P4-6154-KR,EVGA,EVGA GTX 1050 2GB SSC GAMING,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2312
GPU,VCGGTX10502PB,PNY,PNY GTX 1050 2GB,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2313
GPU,02G-P4-6150-KR,EVGA,EVGA GTX 1050 2GB GAMING,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2314
GPU,PH-GTX1050-2G,Asus,Asus GTX 1050 2GB Phoenix,187,25.7,269381,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650,2315
GPU,,Nvidia,GTX 950,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2316
GPU,ZT-90601-10L,Zotac,Zotac GTX 950 2GB,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2317
GPU,ZT-90602-10M,Zotac,Zotac GTX 950 2GB OC,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2318
GPU,ZT-90603-10M,Zotac,Zotac GTX 950 2GB AMP!,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2319
GPU,02G-P4-2951-KR,EVGA,EVGA GTX 950 2GB SC,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2320
GPU,02G-P4-2958-KR,EVGA,EVGA GeForce GTX 950 2GB ACX 2.0,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2321
GPU,02G-P4-2957-KR,EVGA,EVGA GTX 950 2GB SSC ACX,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2322
GPU,STRIX-GTX950-DC2OC-2GD5-GAMING,Asus,Asus GTX 950 2GB STRIX GAMING,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2323
GPU,GV-N950WF2OC-2GD,Gigabyte,Gigabyte GTX 950 2GB Windforce,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2324
GPU,GTX 950 GAMING 2G,MSI,MSI GTX 950 2GB GAMING,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2325
GPU,GTX 950 2GD5 OC,MSI,MSI GTX 950 2GB OC,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2326
GPU,GV-N950XTREME-2GD,Gigabyte,Gigabyte GTX 950 2GB XTREME,188,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,2327
GPU,,Nvidia,GTX 1050-Ti (Mobile Max-Q),189,25.3,10407,https://gpu.userbenchmark.com/SpeedTest/419871/NVIDIA-GeForce-GTX-1050-Ti-with-Max-Q-Design,2328
GPU,,AMD,R9 270,190,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,2329
GPU,R9270-DC2OC-2GD5,Asus,ASUS R9 270 2GB Direct CU II OC,190,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,2330
GPU,11220-00-20G,Sapphire,Sapphire R9 270 2GB Dual-X Boost OC,190,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,2331
GPU,GV-R927OC-2GD,Gigabyte,Gigabyte R9 270 2GB OC,190,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,2332
GPU,,Nvidia,Quadro P1000,191,24.1,8041,https://gpu.userbenchmark.com/SpeedTest/271840/NVIDIA-Quadro-P1000,2333
GPU,,Nvidia,GTX 965M,192,23.5,3914,https://gpu.userbenchmark.com/SpeedTest/24481/NVIDIA-GeForce-GTX-965M,2334
GPU,,AMD,FirePro W7000,193,23.3,72,https://gpu.userbenchmark.com/AMD-FirePro-W7000/Rating/2842,2335
GPU,,Nvidia,GTX 780M,194,23.3,3739,https://gpu.userbenchmark.com/SpeedTest/7760/NVIDIA-GeForce-GTX-780M,2336
GPU,,Nvidia,GTX 1050 (Mobile),195,23,160694,https://gpu.userbenchmark.com/SpeedTest/211022/NVIDIA-GeForce-GTX-1050,2337
GPU,,Nvidia,GTX 580,196,22.8,15395,https://gpu.userbenchmark.com/Nvidia-GTX-580/Rating/3150,2338
GPU,,Nvidia,GTX 870M,197,22.1,3247,https://gpu.userbenchmark.com/SpeedTest/10421/NVIDIA-GeForce-GTX-870M,2339
GPU,,AMD,RX 560,198,22,60738,https://gpu.userbenchmark.com/AMD-RX-560/Rating/3926,2340
GPU,RX 560 AERO ITX 4G OC,MSI,MSI RX 560 4GB Aero ITX,198,22,60738,https://gpu.userbenchmark.com/AMD-RX-560/Rating/3926,2341
GPU,,Nvidia,GTX 680MX,199,21.9,279,https://gpu.userbenchmark.com/SpeedTest/8956/NVIDIA-GeForce-GTX-680MX,2342
GPU,,AMD,R9 M290X,200,21.9,1411,https://gpu.userbenchmark.com/SpeedTest/11722/AMD-Radeon-R9-M290X,2343
GPU,,Nvidia,Quadro M2000,201,21.5,5678,https://gpu.userbenchmark.com/SpeedTest/135005/NVIDIA-Quadro-M2000,2344
GPU,,AMD,Radeon HD 7970M,202,21.5,939,https://gpu.userbenchmark.com/SpeedTest/9441/AMD-Radeon-HD-7970M,2345
GPU,,AMD,R9 M290,203,21.4,93,https://gpu.userbenchmark.com/SpeedTest/31120/AMD-RADEON-R9-M290,2346
GPU,,Nvidia,GTX 775M,204,21.4,479,https://gpu.userbenchmark.com/SpeedTest/13797/NVIDIA-GeForce-GTX-775M,2347
GPU,,Nvidia,Quadro K4200,205,21.3,7330,https://gpu.userbenchmark.com/Nvidia-Quadro-K4200/Rating/2838,2348
GPU,,AMD,R7 370,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2349
GPU,R7 370 GAMING 4G,MSI,MSI R7 370 4GB Gaming,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2350
GPU,R7 370 GAMING 2G,MSI,MSI R7 370 2GB Gaming,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2351
GPU,GV-R737WF2OC-2GD,Gigabyte,Gigabyte AMD R7 370 2GB,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2352
GPU,11240-06-20G,Sapphire,Sapphire R7 370 2GB Dual-X OC ,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2353
GPU,11240-04-20G,Sapphire,Sapphire R7 370 4GB NITRO Dual-X OC,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2354
GPU,STRIX-R7370-DC2OC-2GD5-GAMING,Asus,ASUS R7 370 2GB STRIX OC,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2355
GPU,STRIX-R7370-DC2OC-4GD5-GAMING,Asus,ASUS R7 370 4GB STRIX OC,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2356
GPU,R7-370P-2SF5,XFX,XFX R7 370 2GB 2SF5,206,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,2357
GPU,,Nvidia,Quadro K5000,207,21.1,3775,https://gpu.userbenchmark.com/SpeedTest/9098/NVIDIA-Quadro-K5000,2358
GPU,,Nvidia,Quadro K5100M,208,20.9,641,https://gpu.userbenchmark.com/SpeedTest/11274/NVIDIA-Quadro-K5100M,2359
GPU,,AMD,HD 6990 (Crossfire Disabled),209,20.8,1222,https://gpu.userbenchmark.com/SpeedTest/7713/AMD-Radeon-HD-6900,2360
GPU,,AMD,R7 265,210,20.2,8934,https://gpu.userbenchmark.com/AMD-R7-265/Rating/3296,2361
GPU,11232-00-20G,Sapphire,Sapphire R7 265 2GB Dual-X ,210,20.2,8934,https://gpu.userbenchmark.com/AMD-R7-265/Rating/3296,2362
GPU,R7 265 2GD5 OC,MSI,MSI R7 265 2GB OC,210,20.2,8934,https://gpu.userbenchmark.com/AMD-R7-265/Rating/3296,2363
GPU,,AMD,HD 6970,211,20,9594,https://gpu.userbenchmark.com/SpeedTest/7712/AMD-Radeon-HD-6900,2364
GPU,,Vmware,SVGA 3D,212,20,11474,https://gpu.userbenchmark.com/SpeedTest/7772/VMware-SVGA-3D,2365
GPU,,Nvidia,GTX 570,213,19.9,22303,https://gpu.userbenchmark.com/Nvidia-GTX-570/Rating/3156,2366
GPU,,AMD,HD 7790,214,19.9,8590,https://gpu.userbenchmark.com/SpeedTest/8622/AMD-Radeon-HD-7700,2367
GPU,,Nvidia,GTX 760 (192-bit),215,19.9,10656,https://gpu.userbenchmark.com/SpeedTest/11047/NVIDIA-GeForce-GTX-760-192-bit,2368
GPU,,AMD,R7 260X,216,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,2369
GPU,11222-22-20G,Sapphire,SAPPHIRE R7 260X 2GB OC 2x DVI,216,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,2370
GPU,11222-06-20G,Sapphire,SAPPHIRE R7 260X 2GB OC,216,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,2371
GPU,R7260XCNF4,XFX,XFX 260X 2GB,216,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,2372
GPU,R7 260X 2GD5 OC,MSI,MSI R7 260X 2GB OC,216,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,2373
GPU,,Nvidia,GTX 660,217,19.9,123956,https://gpu.userbenchmark.com/Nvidia-GTX-660/Rating/2162,2374
GPU,,AMD,RX 460,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2375
GPU,GV-RX460WF2OC-4GD,Gigabyte,Gigabyte RX 460 4GB Windforce OC,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2376
